group,sub_group,som,twist,str,pike,tuck,free,image
Forward,,0,,1.6,1.5,1.4,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_0.jpg
Backward,,0,,1.9,1.8,1.7,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_1.jpg
Reverse,,0,,2.0,1.9,1.8,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_2.jpg
Inward,,0,,1.7,1.4,1.3,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_3.jpg
Twisting,Forward,0,0.5,2.0,1.9,1.8,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_4.jpg
Armstand,,0,,1.6,,,,https://jsofra.github.io/fancy/images/dive_cards/default_dive_5.jpg
